Provincia,Propietario,Tipo,Potencia MW,Unidades,rca,estado,Fecha Operación,Coordenada Este,Coordenada Norte,Datum,Uso,Comuna,Región,Nombre,Sistema Eléctrico,Latitude,Longitude
CHANARAL,RTS ENERGIA LTDA.,SOLAR,"2,88",1,NA,EN OPERACION,2013,437354,7091674,WGS84,19,DIEGO DE ALMAGRO,III REGION DE ATACAMA,ESPERANZA,SIC,-26.2933759301,-69.6275331097
COPIAPO,SUBSOLE ENERGIAS RENOVABLES LTDA.,SOLAR,"0,3",1,NA,EN OPERACION,2013,382588,6931619,WGS84,19,TIERRA AMARILLA,III REGION DE ATACAMA,SOLAR HORNITOS,SIC,-27.7346877942,-70.1911979945
TAMARUGAL,SELRAY ENERGIAS LTDA.,SOLAR,"1,4",1,RCA 074/2012,EN OPERACION,2012,444301,7738125,WGS84,19,POZO AL MONTE,I REGION DE TARAPACA,LA HUAYCA SPS-1,SING,-20.454560652,-69.5340123884
TOCOPILLA,GENERACION SOLAR SPA,SOLAR,68,1,RCA 142/2013,EN OPERACION,2015,440571,7542664,WGS84,19,MARIA ELENA,II REGION DE ANTOFAGASTA,MARIA ELENA,SING,-22.2204038712,-69.5766344545
EL TAMARUGAL,POZO ALMONTE SOLAR 2,SOLAR,"7,5",1,RCA 042/2011,EN OPERACION,2014,421467,7758012,WGS84,19,POZO ALMONTE,I REGION DE TARAPACA,POZO ALMONTE SOLAR 2,SING,-20.2740612733,-69.7520496877
EL TAMARUGAL,POZO ALMONTE SOLAR 3,SOLAR,16,1,RCA 062/2011,EN OPERACION,2014,421642,7760809,WGS84,19,POZO ALMONTE,I REGION DE TARAPACA,POZO ALMONTE SOLAR 3,SING,-20.2487957675,-69.7502524977
COMBARBALA,PSF PAMA S.A.,SOLAR,2,1,NA,EN OPERACION,2014,306502,6547012,WGS84,19,COMBARBALA,IV REGION DE COQUIMBO,PSF CASAS BLANCAS,SIC,-31.1949837493,-71.0308242753
ELQUI,SOLAIREDIRECT,SOLAR,"1,28",1,NA,EN OPERACION,2013,298624,6654191,WGS84,19,ANDACOLLO,IV REGION DE COQUIMBO,SDGX01,SIC,-30.2271627975,-71.092482695
HUASCO,COMMONPLACE ENERGY S.A.,SOLAR,3,1,NA,EN OPERACION,2013,313828,6777519,WGS84,19,VALLENAR,III REGION DE ATACAMA,SOLAR SANTA CECILIA,SIC,-29.1171775452,-70.9133927677
CHANARAL,ALMEYDA SOLAR SPA,SOLAR,"28,1",1,RCA 127/2013,EN OPERACION,2014,398241,7081948,WGS84,19,DIEGO DE ALMAGRO,III REGION DE ATACAMA,SOLAR DIEGO DE ALMAGRO,SIC,-26.3789341728,-70.0200625524
COPIAPO,EBCO ENERGIA S.A,SOLAR,3,1,NA,EN OPERACION,2014,367713,6943227,WGS84,19,TIERRA AMARILLA,III REGION DE ATACAMA,SOLAR LAS TERRAZAS,SIC,-27.6285415019,-70.3407997134
COPIAPO,AMANECER SOLAR SPA,SOLAR,101,1,RCA 119/2013,EN OPERACION,2014,383921,7000014,WGS84,19,COPIAPO,III REGION DE ATACAMA,SOLAR LLANO DE LLAMPOS,SIC,-27.117460615,-70.1711436602
LIMARI,PSF LOMAS COLORADAS,SOLAR,2,1,NA,EN OPERACION,2014,307273,6547980,WGS84,19,COMBARBALA,IV REGION DE COQUIMBO,SOLAR PSF LOMAS COLORADAS,SIC,-31.1863824228,-71.0225509443
COPIAPO,SAN ANDRES SPA,SOLAR,"50,6",1,RCA 186/2013,EN OPERACION,2014,389995,6984918,WGS84,19,COPIAPO,III REGION DE ATACAMA,SOLAR SAN ANDRES,SIC,-27.2542245145,-70.1112209731
SANTIAGO,COLEGIO ALTAMIRA,SOLAR,"0,15",1,NA,EN OPERACION,2014,357100,6294539,WGS84,19,PENALOLEN,XII REGION METROPOLITANA,SOLAR TECHOS DE ALTAMIRA,SIC,-33.4791069734,-70.5380135013
ELQUI,ENERGIA TERMICA KALTEMP LTDA.,SOLAR,"2,94",1,NA,EN OPERACION,2012,329339,6674517,WGS84,19,VICUNA,IV REGION DE COQUIMBO,TAMBO REAL,SIC,-30.0485276557,-70.7701883424
